RowNumber,CustomerId,Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,EngagementScore,Geography_Germany,Geography_Spain,Gender_Male,AgeGroup_26-35,AgeGroup_36-50,AgeGroup_51-65,AgeGroup_65+
4784.0,15729224.0,Jennings,710.0,37.0,5.0,0.0,2.0,1.0,0.0,115403.31,0.0,0.0,0.0,False,False,False,False,True,False,False
1497.0,15799156.0,Okwuadigbo,569.0,38.0,8.0,0.0,2.0,0.0,0.0,79618.79,0.0,0.0,0.0,False,True,True,False,True,False,False
1958.0,15674922.0,Beavers,710.0,54.0,6.0,171137.62,1.0,1.0,1.0,167023.95,1.0,1.0246230877482674,1.0,False,False,True,False,False,True,False
9174.0,15653572.0,Thornton,673.0,43.0,8.0,127132.96,1.0,0.0,1.0,6009.27,1.0,21.15262043136165,1.0,False,True,True,False,True,False,False
9748.0,15775761.0,Iweobiegbunam,610.0,62.0,5.0,86038.21,3.0,0.0,0.0,192743.06,1.0,0.4463857926412882,0.0,True,False,False,False,False,True,False
8623.0,15747772.0,Cunningham,706.0,36.0,9.0,58571.18,2.0,1.0,0.0,40774.01,0.0,1.4364479616314012,0.0,True,False,True,False,True,False,False
7951.0,15806796.0,Higgins,516.0,33.0,10.0,138847.9,1.0,1.0,1.0,127256.7,0.0,1.0910766106883905,1.0,True,False,False,True,False,False,False
3018.0,15701962.0,Scott,590.0,29.0,2.0,166930.76,2.0,1.0,0.0,122487.73,0.0,1.362825461575118,0.0,False,True,False,True,False,False,False
7345.0,15720725.0,Shubin,762.0,28.0,2.0,0.0,2.0,1.0,0.0,167909.52,0.0,0.0,0.0,False,False,True,True,False,False,False
514.0,15593601.0,Isayev,734.0,34.0,6.0,133598.4,1.0,1.0,1.0,13107.24,0.0,10.19194033676527,1.0,False,False,True,True,False,False,False
3935.0,15705765.0,Lane,581.0,46.0,1.0,0.0,2.0,1.0,0.0,104272.04,0.0,0.0,0.0,False,True,False,False,True,False,False
3026.0,15745232.0,Chikelu,759.0,39.0,6.0,0.0,2.0,1.0,1.0,140497.67,0.0,0.0,2.0,False,False,False,False,True,False,False
1200.0,15769169.0,Trentino,645.0,41.0,7.0,0.0,1.0,0.0,1.0,28667.56,0.0,0.0,1.0,False,False,True,False,True,False,False
9420.0,15798605.0,Tien,686.0,26.0,1.0,57422.62,1.0,1.0,1.0,79189.4,0.0,0.7251209742595063,1.0,True,False,True,True,False,False,False
9787.0,15609521.0,Chimaraoke,803.0,34.0,4.0,142929.16,2.0,1.0,1.0,114869.56,0.0,1.2442627597532387,2.0,True,False,True,True,False,False,False
922.0,15743411.0,Chiawuotu,609.0,61.0,1.0,0.0,1.0,1.0,0.0,22447.85,1.0,0.0,0.0,False,True,True,False,False,True,False
4650.0,15785815.0,Toscano,670.0,31.0,1.0,142631.54,2.0,1.0,1.0,175894.24,0.0,0.8108891406043734,2.0,True,False,True,True,False,False,False
5334.0,15784445.0,Huang,717.0,33.0,1.0,99106.73,1.0,0.0,0.0,194467.23,0.0,0.5096294135036864,0.0,False,True,True,True,False,False,False
1077.0,15750929.0,Burgess,702.0,39.0,8.0,0.0,2.0,1.0,0.0,99654.13,0.0,0.0,0.0,False,True,True,False,True,False,False
4914.0,15733447.0,Gay,562.0,51.0,1.0,124662.54,1.0,1.0,1.0,65390.46,1.0,1.9064039860862565,1.0,False,False,False,False,False,True,False
9413.0,15724648.0,Chikezie,725.0,26.0,6.0,98684.15,1.0,0.0,0.0,133720.57,0.0,0.7379822866273555,0.0,False,False,True,True,False,False,False
1672.0,15586880.0,P'Eng,594.0,41.0,2.0,122545.65,2.0,1.0,1.0,42050.24,0.0,2.914198249564103,2.0,True,False,True,False,True,False,False
475.0,15603156.0,Elewechi,571.0,33.0,1.0,0.0,2.0,1.0,0.0,102750.7,0.0,0.0,0.0,False,False,False,True,False,False,False
9189.0,15778192.0,Nkemdilim,628.0,28.0,4.0,0.0,2.0,1.0,1.0,176750.81,0.0,0.0,2.0,False,True,True,True,False,False,False
7717.0,15687540.0,Obiuto,684.0,32.0,9.0,100249.41,2.0,0.0,1.0,67599.69,0.0,1.4829643011040272,2.0,False,False,True,True,False,False,False
9782.0,15650424.0,Bryant,641.0,48.0,3.0,147341.43,1.0,1.0,1.0,157458.61,1.0,0.9357411084658472,1.0,False,False,False,False,True,False,False
6093.0,15628963.0,Frolova,601.0,43.0,3.0,141859.12,2.0,1.0,1.0,111249.62,0.0,1.275131050955042,2.0,True,False,True,False,True,False,False
2479.0,15652808.0,Monaldo,774.0,41.0,5.0,126670.37,1.0,1.0,0.0,102426.06,0.0,1.2366885274262485,0.0,False,False,False,False,True,False,False
7195.0,15778290.0,Lappin,799.0,62.0,8.0,70416.75,1.0,1.0,1.0,36483.52,0.0,1.9300445778099864,1.0,False,False,True,False,False,True,False
3915.0,15669326.0,Gordon,658.0,44.0,2.0,168396.34,1.0,1.0,1.0,14178.73,0.0,11.875849540153444,1.0,False,False,True,False,True,False,False
2139.0,15688619.0,Scott,718.0,45.0,3.0,105266.32,2.0,1.0,1.0,193724.51,0.0,0.5433787217801105,2.0,False,True,True,False,True,False,False
5456.0,15726855.0,Oliver,805.0,45.0,9.0,116585.97,1.0,1.0,0.0,189428.75,1.0,0.6154575508862784,0.0,True,False,False,False,True,False,False
7837.0,15780492.0,Ignatyeva,648.0,42.0,4.0,0.0,2.0,1.0,0.0,19283.14,0.0,0.0,0.0,False,False,True,False,True,False,False
6460.0,15632125.0,Blake,606.0,45.0,5.0,63832.43,1.0,1.0,1.0,93707.8,0.0,0.6811786086258708,1.0,True,False,True,False,True,False,False
